#ANALYSIS
AN:ANALYSIS_TYPE                 	MS
#CHROMATOGRAPHY
CH:CHROMATOGRAPHY_SUMMARY        	Targeted IC
CH:CHROMATOGRAPHY_TYPE           	Targeted IC
CH:COLUMN_NAME                   	Dionex IonPac AS11-HC-4um 2 mm i.d. x 250 mm
CH:INSTRUMENT_NAME               	Thermo Dionex ICS-5000+
#COLLECTION
CO:COLLECTION_PROTOCOL_FILENAME  	mouse_tissue_procedure.pdf
CO:COLLECTION_PROTOCOL_ID        	mouse_tissue_collection
CO:COLLECTION_SUMMARY            	Mouse is sacrificed and tissues are harvested.
CO:SAMPLE_TYPE                   	mouse
#METABOLOMICS WORKBENCH ANALYSIS_ID:AN000000 STUDY_ID:ST000000
CREATED_ON          	2023-05-04
VERSION             	1
#MS
MS:INSTRUMENT_NAME               	Orbitrap Fusion
MS:INSTRUMENT_TYPE               	IC-FTMS
MS:ION_MODE                      	NEGATIVE
MS:MS_COMMENTS                   	ICMS Analytical Experiment with detection of compounds by comparison to
MS:MS_COMMENTS                   	standards. 
Thermo RAW files are loaded into TraceFinder and peaks are manually
MS:MS_COMMENTS                   	curated. The area under the chromatograms is then exported to an Excel file. The
MS:MS_COMMENTS                   	area is then corrected for natural abundance. The natural abundance corrected
MS:MS_COMMENTS                   	area is then used to calculate the concentration of each compound for each
MS:MS_COMMENTS                   	sample. This calculation is done using standards. The first sample ran on the
MS:MS_COMMENTS                   	ICMS is a standard that has known concentrations of certain compounds. Then a
MS:MS_COMMENTS                   	number of samples are ran (typically 3-4) followed by another standard. The
MS:MS_COMMENTS                   	equation to calculate the concentration is "intensity in sample"/("intensity in
MS:MS_COMMENTS                   	first standard" + (("intensity in second standard" - "intensity in first
MS:MS_COMMENTS                   	standard")/# of samples) * "known concentration in standard", where the
MS:MS_COMMENTS                   	"intensity" is the aforementioned natural abundance corrected area, and the
MS:MS_COMMENTS                   	unlabeled intensity from the standard is used for all isotopologues of the
MS:MS_COMMENTS                   	compound. The reconstitution volume is simply the volume that the polar part of
MS:MS_COMMENTS                   	the sample was reconstituted to before going into the ICMS. The injection volume
MS:MS_COMMENTS                   	is how much of the reconstitution volume was injected into the ICMS. The protein
MS:MS_COMMENTS                   	is how much protein was in the entire sample (not only the small portion that was
MS:MS_COMMENTS                   	aliquoted for the ICMS). The polar split ratio is the fraction of the polar part
MS:MS_COMMENTS                   	of the sample that was aliquoted for the ICMS. This is calculated by dividing the
MS:MS_COMMENTS                   	weight of the polar aliquot for ICMS by the total weight of the polar portion of
MS:MS_COMMENTS                   	the sample. The protein normalized concentration is calculated using the
MS:MS_COMMENTS                   	equation, concentration * (reconstitution volume / 1000 / polar split ratio /
MS:MS_COMMENTS                   	protein).
MS:MS_TYPE                       	ESI
#MS_METABOLITE_DATA
MS_METABOLITE_DATA_START
Samples	16_A0_Lung_naive_0days_170427_UKy_GCH_rep1-polar-ICMS_A	17_A1_Lung_naive_0days_170427_UKy_GCH_rep2-polar-ICMS_A	18_A2_Lung_naive_0days_170427_UKy_GCH_rep3-polar-ICMS_A	19_B0_Lung_syngenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	20_B1_Lung_syngenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	21_B2_Lung_syngenic_42days_170427_UKy_GCH_rep3-polar-ICMS_A	22_C1-1_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	23_C1-2_Lung_allogenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	24_C2-0_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	25_B1-0_Lung_syngenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	26_B1-1_Lung_syngenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	27_B1-2_Lung_syngenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	28_C1-1_Lung_allogenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	29_C1-2_Lung_allogenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	30_C1-20_Lung_allogenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A
3-Sulfinoalanine-13C1	24_C2-0_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	120823.60301	natural abundance corrected peak area	0	protein normalized	uMol/g	722711.645522326	spectrometer peak area
3-Sulfinoalanine-13C1	25_B1-0_Lung_syngenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	0	natural abundance corrected peak area	0	protein normalized	uMol/g	287859.172970411	spectrometer peak area
3-Sulfinoalanine-13C1	26_B1-1_Lung_syngenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	0	natural abundance corrected peak area	0	protein normalized	uMol/g	200570.938403709	spectrometer peak area
3-Sulfinoalanine-13C1	27_B1-2_Lung_syngenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	0	natural abundance corrected peak area	0	protein normalized	uMol/g	334683.42444779	spectrometer peak area
3-Sulfinoalanine-13C1	28_C1-1_Lung_allogenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	34652.933607	natural abundance corrected peak area	0	protein normalized	uMol/g	278340.247987721	spectrometer peak area
3-Sulfinoalanine-13C1	29_C1-2_Lung_allogenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	20402.9245607	natural abundance corrected peak area	0	protein normalized	uMol/g	327158.95862009	spectrometer peak area
3-Sulfinoalanine-13C1	30_C1-20_Lung_allogenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	113735.507238	natural abundance corrected peak area	0	protein normalized	uMol/g	530484.647524674	spectrometer peak area
3-Sulfinoalanine-13C2	16_A0_Lung_naive_0days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	0	natural abundance corrected peak area	0	protein normalized	uMol/g	5431.93358355646	spectrometer peak area
3-Sulfinoalanine-13C2	17_A1_Lung_naive_0days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	0	natural abundance corrected peak area	0	protein normalized	uMol/g	1427.4332912071	spectrometer peak area
3-Sulfinoalanine-13C2	18_A2_Lung_naive_0days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	0	natural abundance corrected peak area	0	protein normalized	uMol/g	1933.72727253001	spectrometer peak area
3-Sulfinoalanine-13C2	19_B0_Lung_syngenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	0	natural abundance corrected peak area	0	protein normalized	uMol/g	5411.81223166346	spectrometer peak area
3-Sulfinoalanine-13C2	20_B1_Lung_syngenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	344.514299189	natural abundance corrected peak area	0	protein normalized	uMol/g	3339.71220724625	spectrometer peak area
3-Sulfinoalanine-13C2	21_B2_Lung_syngenic_42days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	0	natural abundance corrected peak area	0	protein normalized	uMol/g	1564.02103187564	spectrometer peak area
3-Sulfinoalanine-13C2	22_C1-1_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	0	natural abundance corrected peak area	0	protein normalized	uMol/g	3165.21886418138	spectrometer peak area
3-Sulfinoalanine-13C2	23_C1-2_Lung_allogenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	0	natural abundance corrected peak area	0	protein normalized	uMol/g	3785.81585302921	spectrometer peak area
3-Sulfinoalanine-13C2	24_C2-0_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	0	natural abundance corrected peak area	0	protein normalized	uMol/g	8178.58758399724	spectrometer peak area
3-Sulfinoalanine-13C2	25_B1-0_Lung_syngenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	837.206749551	natural abundance corrected peak area	0	protein normalized	uMol/g	4560.19439016152	spectrometer peak area
3-Sulfinoalanine-13C2	26_B1-1_Lung_syngenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	0	natural abundance corrected peak area	0	protein normalized	uMol/g	2152.18346882466	spectrometer peak area
3-Sulfinoalanine-13C2	27_B1-2_Lung_syngenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	0	natural abundance corrected peak area	0	protein normalized	uMol/g	1572.00446422336	spectrometer peak area
3-Sulfinoalanine-13C2	28_C1-1_Lung_allogenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	0	natural abundance corrected peak area	0	protein normalized	uMol/g	1118.83620921336	spectrometer peak area
3-Sulfinoalanine-13C2	29_C1-2_Lung_allogenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	0	natural abundance corrected peak area	0	protein normalized	uMol/g	3809.29866005155	spectrometer peak area
3-Sulfinoalanine-13C2	30_C1-20_Lung_allogenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	0	natural abundance corrected peak area	0	protein normalized	uMol/g	6209.07610013603	spectrometer peak area
3-Sulfinoalanine-13C3	17_A1_Lung_naive_0days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	595.247715337	natural abundance corrected peak area	0	protein normalized	uMol/g	614.655860945637	spectrometer peak area
3-Sulfinoalanine-13C3	18_A2_Lung_naive_0days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	295.883492404	natural abundance corrected peak area	0	protein normalized	uMol/g	307.693814193662	spectrometer peak area
3-Sulfinoalanine-13C3	22_C1-1_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	370.115849314	natural abundance corrected peak area	0	protein normalized	uMol/g	468.024351220026	spectrometer peak area
3-Sulfinoalanine-13C3	24_C2-0_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	437.569158088	natural abundance corrected peak area	0	protein normalized	uMol/g	477.772297346851	spectrometer peak area
3-Sulfinoalanine-13C3	25_B1-0_Lung_syngenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	314.570405295	natural abundance corrected peak area	0	protein normalized	uMol/g	337.806718865276	spectrometer peak area
3-Sulfinoalanine-13C3	26_B1-1_Lung_syngenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	409.978609221	natural abundance corrected peak area	0	protein normalized	uMol/g	421.672234616338	spectrometer peak area
3-Sulfinoalanine-13C3	27_B1-2_Lung_syngenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	289.426260138	natural abundance corrected peak area	0	protein normalized	uMol/g	303.59706183931	spectrometer peak area
3-Sulfinoalanine-13C3	28_C1-1_Lung_allogenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	686.502324599	natural abundance corrected peak area	0	protein normalized	uMol/g	701.01180221667	spectrometer peak area
3-Sulfinoalanine-13C3	29_C1-2_Lung_allogenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	477.314224763	natural abundance corrected peak area	0	protein normalized	uMol/g	492.701828149079	spectrometer peak area
3PG 2PG-13C0	16_A0_Lung_naive_0days_170427_UKy_GCH_rep1-polar-ICMS_A	1.14240642128091	calculated from standard	uM	17107489.5838	natural abundance corrected peak area	0.291552997052624	protein normalized	uMol/g	16544612.1247269	spectrometer peak area
3PG 2PG-13C0	17_A1_Lung_naive_0days_170427_UKy_GCH_rep2-polar-ICMS_A	0.43156806328491	calculated from standard	uM	6462714.15305	natural abundance corrected peak area	0.121146307278334	protein normalized	uMol/g	6250075.34924471	spectrometer peak area
3PG 2PG-13C0	18_A2_Lung_naive_0days_170427_UKy_GCH_rep3-polar-ICMS_A	0.0463747046510832	calculated from standard	uM	694459.311495	natural abundance corrected peak area	0.055314537196883	protein normalized	uMol/g	671609.933695415	spectrometer peak area
3PG 2PG-13C0	19_B0_Lung_syngenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	1.12653527018522	calculated from standard	uM	17334238.7624	natural abundance corrected peak area	0.352269974871678	protein normalized	uMol/g	16763900.711211	spectrometer peak area
3PG 2PG-13C0	20_B1_Lung_syngenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	0.12303537900149	calculated from standard	uM	1893171.64964	natural abundance corrected peak area	0.0761595618013724	protein normalized	uMol/g	1830881.75944022	spectrometer peak area
3PG 2PG-13C0	21_B2_Lung_syngenic_42days_170427_UKy_GCH_rep3-polar-ICMS_A	0.380969105217555	calculated from standard	uM	5862052.97403	natural abundance corrected peak area	0.197509816521701	protein normalized	uMol/g	5669177.36437947	spectrometer peak area
3PG 2PG-13C0	22_C1-1_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	2.73088080360018	calculated from standard	uM	42020646.0766	natural abundance corrected peak area	0.337275704674035	protein normalized	uMol/g	40638065.9863486	spectrometer peak area
3PG 2PG-13C0	23_C1-2_Lung_allogenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	3.89298454134362	calculated from standard	uM	59902184.4446	natural abundance corrected peak area	0.593212053572418	protein normalized	uMol/g	57931258.8328333	spectrometer peak area
3PG 2PG-13C0	24_C2-0_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0.580426729397629	calculated from standard	uM	8931150.02942	natural abundance corrected peak area	0.162600585755475	protein normalized	uMol/g	8637293.76192489	spectrometer peak area
3PG 2PG-13C0	25_B1-0_Lung_syngenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0.672196642873655	calculated from standard	uM	10343233.2846	natural abundance corrected peak area	0.249365764842788	protein normalized	uMol/g	10002916.0895296	spectrometer peak area
3PG 2PG-13C0	26_B1-1_Lung_syngenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0.864941959160998	calculated from standard	uM	13309046.6251	natural abundance corrected peak area	0.421703774746386	protein normalized	uMol/g	12871147.0541963	spectrometer peak area
3PG 2PG-13C0	27_B1-2_Lung_syngenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	0.188852006472981	calculated from standard	uM	2905906.15101	natural abundance corrected peak area	0.0877265874621812	protein normalized	uMol/g	2810294.86551751	spectrometer peak area
3PG 2PG-13C0	28_C1-1_Lung_allogenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0.287813772605306	calculated from standard	uM	4448703.76818	natural abundance corrected peak area	0.139025474051597	protein normalized	uMol/g	4302330.73892348	spectrometer peak area
3PG 2PG-13C0	29_C1-2_Lung_allogenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0.0763244545760849	calculated from standard	uM	1179738.15361	natural abundance corrected peak area	0.0389813684937548	protein normalized	uMol/g	1140921.93741233	spectrometer peak area
3PG 2PG-13C0	30_C1-20_Lung_allogenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	0.149905824778784	calculated from standard	uM	2317076.77339	natural abundance corrected peak area	0.0539783635074574	protein normalized	uMol/g	2240839.38739579	spectrometer peak area
3PG 2PG-13C1	16_A0_Lung_naive_0days_170427_UKy_GCH_rep1-polar-ICMS_A	0.0983068701404086	calculated from standard	uM	1472141.37247	natural abundance corrected peak area	0.0250888493677782	protein normalized	uMol/g	1996282.40598227	spectrometer peak area
3PG 2PG-13C1	17_A1_Lung_naive_0days_170427_UKy_GCH_rep2-polar-ICMS_A	0.120104949877844	calculated from standard	uM	1798566.72785	natural abundance corrected peak area	0.0337148932031713	protein normalized	uMol/g	1969167.64262334	spectrometer peak area
3PG 2PG-13C1	18_A2_Lung_naive_0days_170427_UKy_GCH_rep3-polar-ICMS_A	0.00639143562779154	calculated from standard	uM	95711.4879531	natural abundance corrected peak area	0.00762353758228625	protein normalized	uMol/g	116195.420028719	spectrometer peak area
3PG 2PG-13C1	19_B0_Lung_syngenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0.15796405311598	calculated from standard	uM	2430626.6169	natural abundance corrected peak area	0.0493956953630449	protein normalized	uMol/g	2941003.87825065	spectrometer peak area
3PG 2PG-13C1	20_B1_Lung_syngenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	0.0303040601454847	calculated from standard	uM	466295.04458	natural abundance corrected peak area	0.0187583763321816	protein normalized	uMol/g	517606.511017457	spectrometer peak area
3PG 2PG-13C1	21_B2_Lung_syngenic_42days_170427_UKy_GCH_rep3-polar-ICMS_A	0.13287752719023	calculated from standard	uM	2044614.88551	natural abundance corrected peak area	0.0688890927263313	protein normalized	uMol/g	2190245.50298101	spectrometer peak area
3PG 2PG-13C1	22_C1-1_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	1.08819042777592	calculated from standard	uM	16744218.4841	natural abundance corrected peak area	0.1343962698276	protein normalized	uMol/g	17742081.65689	spectrometer peak area
3PG 2PG-13C1	23_C1-2_Lung_allogenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	1.27844528950494	calculated from standard	uM	19671710.6685	natural abundance corrected peak area	0.194809187530311	protein normalized	uMol/g	21186798.7621656	spectrometer peak area
3PG 2PG-13C1	24_C2-0_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0.166839624293776	calculated from standard	uM	2567196.9259	natural abundance corrected peak area	0.0467384068710021	protein normalized	uMol/g	2801157.58780623	spectrometer peak area
3PG 2PG-13C1	25_B1-0_Lung_syngenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0.236742490687445	calculated from standard	uM	3642807.25814	natural abundance corrected peak area	0.0878247055931188	protein normalized	uMol/g	3898986.94140716	spectrometer peak area
3PG 2PG-13C1	26_B1-1_Lung_syngenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0.141021506165128	calculated from standard	uM	2169928.02906	natural abundance corrected peak area	0.0687552509626671	protein normalized	uMol/g	2555091.21391937	spectrometer peak area
3PG 2PG-13C1	27_B1-2_Lung_syngenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	0.0302415142657831	calculated from standard	uM	465332.637773	natural abundance corrected peak area	0.0140479568937256	protein normalized	uMol/g	549615.827057798	spectrometer peak area
3PG 2PG-13C1	28_C1-1_Lung_allogenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0.0412946879002961	calculated from standard	uM	638287.153547	natural abundance corrected peak area	0.019946973034624	protein normalized	uMol/g	768952.198097761	spectrometer peak area
3PG 2PG-13C1	29_C1-2_Lung_allogenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0.00946112769794329	calculated from standard	uM	146239.542535	natural abundance corrected peak area	0.00483210403806224	protein normalized	uMol/g	181398.088320584	spectrometer peak area
3PG 2PG-13C1	30_C1-20_Lung_allogenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	0.0330462093977159	calculated from standard	uM	510791.387573	natural abundance corrected peak area	0.0118993395089603	protein normalized	uMol/g	574913.643937139	spectrometer peak area
3PG 2PG-13C2	16_A0_Lung_naive_0days_170427_UKy_GCH_rep1-polar-ICMS_A	0.0782024385137253	calculated from standard	uM	1171078.3285	natural abundance corrected peak area	0.01995800697613	protein normalized	uMol/g	1196623.10598861	spectrometer peak area
3PG 2PG-13C2	17_A1_Lung_naive_0days_170427_UKy_GCH_rep2-polar-ICMS_A	0.157707074276827	calculated from standard	uM	2361657.00772	natural abundance corrected peak area	0.0442702584034688	protein normalized	uMol/g	2377274.10349389	spectrometer peak area
3PG 2PG-13C2	18_A2_Lung_naive_0days_170427_UKy_GCH_rep3-polar-ICMS_A	0.00995877513751582	calculated from standard	uM	149132.251674	natural abundance corrected peak area	0.0118785670318365	protein normalized	uMol/g	149831.102152909	spectrometer peak area
3PG 2PG-13C2	19_B0_Lung_syngenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0.148758188860957	calculated from standard	uM	2288974.01779	natural abundance corrected peak area	0.0465170020317158	protein normalized	uMol/g	2323227.5047865	spectrometer peak area
3PG 2PG-13C2	20_B1_Lung_syngenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	0.0380797066218865	calculated from standard	uM	585940.577322	natural abundance corrected peak area	0.0235715433510598	protein normalized	uMol/g	590360.989171688	spectrometer peak area
3PG 2PG-13C2	21_B2_Lung_syngenic_42days_170427_UKy_GCH_rep3-polar-ICMS_A	0.153034170768924	calculated from standard	uM	2354769.4645	natural abundance corrected peak area	0.0793391132670987	protein normalized	uMol/g	2375640.60454274	spectrometer peak area
3PG 2PG-13C2	22_C1-1_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	1.25786714725183	calculated from standard	uM	19355070.3994	natural abundance corrected peak area	0.155352085640788	protein normalized	uMol/g	19523022.9329826	spectrometer peak area
3PG 2PG-13C2	23_C1-2_Lung_allogenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	1.11413852814956	calculated from standard	uM	17143487.4455	natural abundance corrected peak area	0.169772162521776	protein normalized	uMol/g	17406702.5986253	spectrometer peak area
3PG 2PG-13C2	24_C2-0_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0.247923187161539	calculated from standard	uM	3814847.02231	natural abundance corrected peak area	0.0694531340702848	protein normalized	uMol/g	3832108.05821909	spectrometer peak area
3PG 2PG-13C2	25_B1-0_Lung_syngenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0.193625253833866	calculated from standard	uM	2979353.12743	natural abundance corrected peak area	0.0718294416180779	protein normalized	uMol/g	3029987.48358353	spectrometer peak area
3PG 2PG-13C2	26_B1-1_Lung_syngenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0.0955465632820409	calculated from standard	uM	1470195.37221	natural abundance corrected peak area	0.0465838730256133	protein normalized	uMol/g	1506342.2634916	spectrometer peak area
3PG 2PG-13C2	27_B1-2_Lung_syngenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	0.0677048345432221	calculated from standard	uM	1041788.74679	natural abundance corrected peak area	0.031450627399176	protein normalized	uMol/g	1041502.21194036	spectrometer peak area
3PG 2PG-13C2	28_C1-1_Lung_allogenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0.0575394646787755	calculated from standard	uM	889380.765272	natural abundance corrected peak area	0.0277938448922386	protein normalized	uMol/g	895140.947805543	spectrometer peak area
3PG 2PG-13C2	29_C1-2_Lung_allogenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0.041518223505092	calculated from standard	uM	641742.317205	natural abundance corrected peak area	0.0212047001009972	protein normalized	uMol/g	638263.470506081	spectrometer peak area
3PG 2PG-13C2	30_C1-20_Lung_allogenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	0.0902183187754882	calculated from standard	uM	1394493.98499	natural abundance corrected peak area	0.0324859771998947	protein normalized	uMol/g	1391078.1947146	spectrometer peak area
3PG 2PG-13C3	16_A0_Lung_naive_0days_170427_UKy_GCH_rep1-polar-ICMS_A	0.582074849619883	calculated from standard	uM	8716547.14239	natural abundance corrected peak area	0.148551044316918	protein normalized	uMol/g	8729738.79047761	spectrometer peak area
3PG 2PG-13C3	17_A1_Lung_naive_0days_170427_UKy_GCH_rep2-polar-ICMS_A	1.54240972361644	calculated from standard	uM	23097522.7285	natural abundance corrected peak area	0.432972822187192	protein normalized	uMol/g	23123943.521794	spectrometer peak area
3PG 2PG-13C3	18_A2_Lung_naive_0days_170427_UKy_GCH_rep3-polar-ICMS_A	0.279416168658813	calculated from standard	uM	4184245.73412	natural abundance corrected peak area	0.333280312424101	protein normalized	uMol/g	4185912.3293601	spectrometer peak area
3PG 2PG-13C3	19_B0_Lung_syngenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	1.1519303998681	calculated from standard	uM	17724999.0457	natural abundance corrected peak area	0.360211085933188	protein normalized	uMol/g	17750706.3485637	spectrometer peak area
3PG 2PG-13C3	20_B1_Lung_syngenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	0.536998498302783	calculated from standard	uM	8262910.56391	natural abundance corrected peak area	0.332404960675902	protein normalized	uMol/g	8269468.57582103	spectrometer peak area
3PG 2PG-13C3	21_B2_Lung_syngenic_42days_170427_UKy_GCH_rep3-polar-ICMS_A	1.04856544983401	calculated from standard	uM	16134500.487	natural abundance corrected peak area	0.543618804704503	protein normalized	uMol/g	16160874.3391666	spectrometer peak area
3PG 2PG-13C3	22_C1-1_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	5.8671526339828	calculated from standard	uM	90279130.4494	natural abundance corrected peak area	0.724618971449766	protein normalized	uMol/g	90495894.8333133	spectrometer peak area
3PG 2PG-13C3	23_C1-2_Lung_allogenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	3.15560673553172	calculated from standard	uM	48555994.6871	natural abundance corrected peak area	0.480850599834555	protein normalized	uMol/g	48748617.0521028	spectrometer peak area
3PG 2PG-13C3	24_C2-0_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	2.75121167470896	calculated from standard	uM	42333481.5318	natural abundance corrected peak area	0.770723688602763	protein normalized	uMol/g	42376116.1014416	spectrometer peak area
3PG 2PG-13C3	25_B1-0_Lung_syngenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0.704504315488698	calculated from standard	uM	10840358.3421	natural abundance corrected peak area	0.261350989073453	protein normalized	uMol/g	10873861.4978045	spectrometer peak area
3PG 2PG-13C3	26_B1-1_Lung_syngenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0.394786108412498	calculated from standard	uM	6074658.15267	natural abundance corrected peak area	0.1924785708124	protein normalized	uMol/g	6091247.64739062	spectrometer peak area
3PG 2PG-13C3	27_B1-2_Lung_syngenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	1.09968843811697	calculated from standard	uM	16921140.8245	natural abundance corrected peak area	0.510833407329566	protein normalized	uMol/g	16932755.4555833	spectrometer peak area
3PG 2PG-13C3	28_C1-1_Lung_allogenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0.615211873215626	calculated from standard	uM	9509257.85736	natural abundance corrected peak area	0.297171749432803	protein normalized	uMol/g	9519205.65953154	spectrometer peak area
3PG 2PG-13C3	29_C1-2_Lung_allogenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0.970159552532234	calculated from standard	uM	14995642.5574	natural abundance corrected peak area	0.495491873804298	protein normalized	uMol/g	15002779.0745215	spectrometer peak area
3PG 2PG-13C3	30_C1-20_Lung_allogenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	1.52039564087171	calculated from standard	uM	23500577.3193	natural abundance corrected peak area	0.547466842594245	protein normalized	uMol/g	23516108.2391618	spectrometer peak area
5-L-Glutamyl-L-alanine-13C0	16_A0_Lung_naive_0days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	59179.0285923	natural abundance corrected peak area	0	protein normalized	uMol/g	54129.4996736408	spectrometer peak area
5-L-Glutamyl-L-alanine-13C0	17_A1_Lung_naive_0days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	17041.9654967	natural abundance corrected peak area	0	protein normalized	uMol/g	15587.4053795546	spectrometer peak area
5-L-Glutamyl-L-alanine-13C0	18_A2_Lung_naive_0days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	9933.2362275	natural abundance corrected peak area	0	protein normalized	uMol/g	9094.51798347153	spectrometer peak area
5-L-Glutamyl-L-alanine-13C0	19_B0_Lung_syngenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	19582.0774597	natural abundance corrected peak area	0	protein normalized	uMol/g	17924.4294755719	spectrometer peak area
